#/Users/anjalisarawgi/anaconda3/envs/gnn_parsing/bin/verilog2graph tum-eisec-benchmarks-main/netlist/des_latest/verilog/osu035/des3.v --output_format txt --do-not-zip -o adjlist/des_latest/osu035/des3 -l lib/osu035_stdcells.lib
# GMT Tue Nov 18 14:07:08 2025
# 
INPUT_\desIn[0]  INVX1_31
AND2X2_2 NAND3X1_3 NAND3X1_4 NAND3X1_7 NAND3X1_8 NAND3X1_11 NAND3X1_12 NAND3X1_15 NAND3X1_16 NAND3X1_19 NAND3X1_20 NAND3X1_22 NAND3X1_23 NAND3X1_26 NAND3X1_27 NAND3X1_30 NAND3X1_31 NAND3X1_35 NAND3X1_36 NAND3X1_39 NAND3X1_40 NAND3X1_43 NAND3X1_44 NAND3X1_46 NAND3X1_47 NAND3X1_51 NAND3X1_52 NAND3X1_55 NAND3X1_56 NAND3X1_59 NAND3X1_60 NAND3X1_63 NAND3X1_64 NAND3X1_67 NAND3X1_68 NAND3X1_71 NAND3X1_72 NAND3X1_75 NAND3X1_76 NAND3X1_79 NAND3X1_80 NAND3X1_83 NAND3X1_84 NAND3X1_87 NAND3X1_88 NAND3X1_91 NAND3X1_92 NAND3X1_94 NAND3X1_95 NAND3X1_99 NAND3X1_100 NAND3X1_103 NAND3X1_104 NAND3X1_107 NAND3X1_108 NAND3X1_111 NAND3X1_112 NAND3X1_115 NAND3X1_116 NAND3X1_119 NAND3X1_120 NAND3X1_123 NAND3X1_124 NAND3X1_126 NAND3X1_127
NAND3X1_3 NAND3X1_5
NOR2X1_5 NAND3X1_4 NAND3X1_8 NAND3X1_12 NAND3X1_16 NAND3X1_20 NAND3X1_23 NAND3X1_27 NAND3X1_31 NAND3X1_36 NAND3X1_40 NAND3X1_44 NAND3X1_47 NAND3X1_52 NAND3X1_56 NAND3X1_60 NAND3X1_64 NAND3X1_68 NAND3X1_72 NAND3X1_76 NAND3X1_80 NAND3X1_84 NAND3X1_88 NAND3X1_92 NAND3X1_95 NAND3X1_100 NAND3X1_104 NAND3X1_108 NAND3X1_112 NAND3X1_116 NAND3X1_120 NAND3X1_124 NAND3X1_127
NAND3X1_4 NAND3X1_5
NAND3X1_5 NAND2X1_4
NAND2X1_4 NAND2X1_5
NAND2X1_5 OUTPUT_\desOut[56]  DFFPOSX1_44
INVX1_6 NAND3X1_6
INVX1_7 OAI21X1_66
OAI21X1_66 NAND3X1_6 NAND3X1_9
INVX1_8 AOI22X1_34 NAND3X1_8
INVX1_9 AOI22X1_34 NAND3X1_7
AOI22X1_34 NAND3X1_6
NAND3X1_6 NAND2X1_7
NAND3X1_7 NAND3X1_9
NAND3X1_8 NAND3X1_9
NAND3X1_9 NAND2X1_6
NAND2X1_6 NAND2X1_7
NAND2X1_7 OUTPUT_\desOut[48]  DFFPOSX1_45
INVX1_10 NAND3X1_10
INVX1_11 OAI21X1_67
OAI21X1_67 NAND3X1_10 NAND3X1_13
INVX1_12 AOI22X1_35 NAND3X1_12
INVX1_13 AOI22X1_35 NAND3X1_11
AOI22X1_35 NAND3X1_10
NAND3X1_10 NAND2X1_9
NAND3X1_11 NAND3X1_13
NAND3X1_12 NAND3X1_13
NAND3X1_13 NAND2X1_8
NAND2X1_8 NAND2X1_9
NAND2X1_9 OUTPUT_\desOut[40]  DFFPOSX1_46
INVX1_14 NAND3X1_14
INVX1_15 OAI21X1_68
OAI21X1_68 NAND3X1_14 NAND3X1_17
INVX1_16 AOI22X1_36 NAND3X1_16
INVX1_17 AOI22X1_36 NAND3X1_15
AOI22X1_36 NAND3X1_14
NAND3X1_14 NAND2X1_11
NAND3X1_15 NAND3X1_17
NAND3X1_16 NAND3X1_17
NAND3X1_17 NAND2X1_10
NAND2X1_10 NAND2X1_11
NAND2X1_11 OUTPUT_\desOut[32]  DFFPOSX1_47
INVX1_18 NAND3X1_18
INVX1_19 OAI21X1_69
OAI21X1_69 NAND3X1_18 NAND3X1_21
INVX1_20 AOI22X1_37 NAND3X1_20
INVX1_21 AOI22X1_37 NAND3X1_19
AOI22X1_37 NAND3X1_18
NAND3X1_18 NAND2X1_13
NAND3X1_19 NAND3X1_21
NAND3X1_20 NAND3X1_21
NAND3X1_21 NAND2X1_12
NAND2X1_12 NAND2X1_13
NAND2X1_13 OUTPUT_\desOut[24]  DFFPOSX1_48
INVX1_22 OAI21X1_70
OAI21X1_70 NAND3X1_24 NAND3X1_25
INVX1_23 NAND3X1_22 AOI22X1_38
NAND3X1_22 NAND3X1_24
INVX1_24 NAND3X1_23 AOI22X1_38
NAND3X1_23 NAND3X1_24
NAND3X1_24 NAND2X1_14
NAND2X1_14 NAND2X1_15
INVX1_25 NAND3X1_25
AOI22X1_38 NAND3X1_25
NAND3X1_25 NAND2X1_15
NAND2X1_15 OUTPUT_\desOut[16]  DFFPOSX1_49
INVX1_26 OAI21X1_71
OAI21X1_71 NAND3X1_28 NAND3X1_29
INVX1_27 NAND3X1_26 AOI22X1_39
NAND3X1_26 NAND3X1_28
INVX1_28 NAND3X1_27 AOI22X1_39
NAND3X1_27 NAND3X1_28
NAND3X1_28 NAND2X1_16
NAND2X1_16 NAND2X1_17
INVX1_29 NAND3X1_29
AOI22X1_39 NAND3X1_29
NAND3X1_29 NAND2X1_17
NAND2X1_17 OUTPUT_\desOut[8]  DFFPOSX1_50
INVX1_30 OAI21X1_72
OAI21X1_72 NAND3X1_32 NAND3X1_33
INVX1_31 NAND3X1_30 AOI22X1_40
NAND3X1_30 NAND3X1_32
INVX1_32 NAND3X1_31 AOI22X1_40
NAND3X1_31 NAND3X1_32
NAND3X1_32 NAND2X1_18
NAND2X1_18 NAND2X1_19
INVX1_33 NAND3X1_33
AOI22X1_40 NAND3X1_33
NAND3X1_33 NAND2X1_19
NAND2X1_19 OUTPUT_\desOut[0]  DFFPOSX1_51
INVX1_34 NAND3X1_34
INVX1_35 OAI21X1_73
OAI21X1_73 NAND3X1_34 NAND3X1_37
INVX1_36 AOI22X1_41 NAND3X1_36
INVX1_37 AOI22X1_41 NAND3X1_35
AOI22X1_41 NAND3X1_34
NAND3X1_34 NAND2X1_21
NAND3X1_35 NAND3X1_37
NAND3X1_36 NAND3X1_37
NAND3X1_37 NAND2X1_20
NAND2X1_20 NAND2X1_21
NAND2X1_21 OUTPUT_\desOut[58]  DFFPOSX1_52
INVX1_38 NAND3X1_38
INVX1_39 OAI21X1_74
OAI21X1_74 NAND3X1_38 NAND3X1_41
INVX1_40 AOI22X1_42 NAND3X1_40
INVX1_41 AOI22X1_42 NAND3X1_39
AOI22X1_42 NAND3X1_38
NAND3X1_38 NAND2X1_23
NAND3X1_39 NAND3X1_41
NAND3X1_40 NAND3X1_41
NAND3X1_41 NAND2X1_22
NAND2X1_22 NAND2X1_23
NAND2X1_23 OUTPUT_\desOut[50]  DFFPOSX1_53
INVX1_42 NAND3X1_42
INVX1_43 OAI21X1_75
OAI21X1_75 NAND3X1_42 NAND3X1_45
INVX1_44 AOI22X1_43 NAND3X1_44
INVX1_45 AOI22X1_43 NAND3X1_43
AOI22X1_43 NAND3X1_42
NAND3X1_42 NAND2X1_25
NAND3X1_43 NAND3X1_45
NAND3X1_44 NAND3X1_45
NAND3X1_45 NAND2X1_24
NAND2X1_24 NAND2X1_25
NAND2X1_25 OUTPUT_\desOut[42]  DFFPOSX1_54
INVX1_46 OAI21X1_76
OAI21X1_76 NAND3X1_48 NAND3X1_49
INVX1_47 NAND3X1_46 AOI22X1_44
NAND3X1_46 NAND3X1_48
INVX1_48 NAND3X1_47 AOI22X1_44
NAND3X1_47 NAND3X1_48
NAND3X1_48 NAND2X1_26
NAND2X1_26 NAND2X1_27
INVX1_49 NAND3X1_49
AOI22X1_44 NAND3X1_49
NAND3X1_49 NAND2X1_27
NAND2X1_27 OUTPUT_\desOut[34]  DFFPOSX1_55
INVX1_50 NAND3X1_50
INVX1_51 OAI21X1_77
OAI21X1_77 NAND3X1_50 NAND3X1_53
INVX1_52 AOI22X1_45 NAND3X1_52
INVX1_53 AOI22X1_45 NAND3X1_51
AOI22X1_45 NAND3X1_50
NAND3X1_50 NAND2X1_29
NAND3X1_51 NAND3X1_53
NAND3X1_52 NAND3X1_53
NAND3X1_53 NAND2X1_28
NAND2X1_28 NAND2X1_29
NAND2X1_29 OUTPUT_\desOut[26]  DFFPOSX1_56
INVX1_54 NAND3X1_54
INVX1_55 OAI21X1_78
OAI21X1_78 NAND3X1_54 NAND3X1_57
INVX1_56 AOI22X1_46 NAND3X1_56
INVX1_57 AOI22X1_46 NAND3X1_55
AOI22X1_46 NAND3X1_54
NAND3X1_54 NAND2X1_31
NAND3X1_55 NAND3X1_57
NAND3X1_56 NAND3X1_57
NAND3X1_57 NAND2X1_30
NAND2X1_30 NAND2X1_31
NAND2X1_31 OUTPUT_\desOut[18]  DFFPOSX1_57
INVX1_58 NAND3X1_58
INVX1_59 OAI21X1_79
OAI21X1_79 NAND3X1_58 NAND3X1_61
INVX1_60 AOI22X1_47 NAND3X1_60
INVX1_61 AOI22X1_47 NAND3X1_59
AOI22X1_47 NAND3X1_58
NAND3X1_58 NAND2X1_33
NAND3X1_59 NAND3X1_61
NAND3X1_60 NAND3X1_61
NAND3X1_61 NAND2X1_32
NAND2X1_32 NAND2X1_33
NAND2X1_33 OUTPUT_\desOut[10]  DFFPOSX1_58
INVX1_62 NAND3X1_62
INVX1_63 OAI21X1_80
OAI21X1_80 NAND3X1_62 NAND3X1_65
INVX1_64 AOI22X1_48 NAND3X1_64
INVX1_65 AOI22X1_48 NAND3X1_63
AOI22X1_48 NAND3X1_62
NAND3X1_62 NAND2X1_35
NAND3X1_63 NAND3X1_65
NAND3X1_64 NAND3X1_65
NAND3X1_65 NAND2X1_34
NAND2X1_34 NAND2X1_35
NAND2X1_35 OUTPUT_\desOut[2]  DFFPOSX1_59
INVX1_66 NAND3X1_66
INVX1_67 OAI21X1_81
OAI21X1_81 NAND3X1_66 NAND3X1_69
INVX1_68 AOI22X1_49 NAND3X1_68
INVX1_69 AOI22X1_49 NAND3X1_67
AOI22X1_49 NAND3X1_66
NAND3X1_66 NAND2X1_37
NAND3X1_67 NAND3X1_69
NAND3X1_68 NAND3X1_69
NAND3X1_69 NAND2X1_36
NAND2X1_36 NAND2X1_37
NAND2X1_37 OUTPUT_\desOut[60]  DFFPOSX1_60
INVX1_70 NAND3X1_70
INVX1_71 OAI21X1_82
OAI21X1_82 NAND3X1_70 NAND3X1_73
INVX1_72 AOI22X1_50 NAND3X1_72
INVX1_73 AOI22X1_50 NAND3X1_71
AOI22X1_50 NAND3X1_70
NAND3X1_70 NAND2X1_39
NAND3X1_71 NAND3X1_73
NAND3X1_72 NAND3X1_73
NAND3X1_73 NAND2X1_38
NAND2X1_38 NAND2X1_39
NAND2X1_39 OUTPUT_\desOut[52]  DFFPOSX1_61
INVX1_74 NAND3X1_74
INVX1_75 OAI21X1_83
OAI21X1_83 NAND3X1_74 NAND3X1_77
INVX1_76 AOI22X1_51 NAND3X1_76
INVX1_77 AOI22X1_51 NAND3X1_75
AOI22X1_51 NAND3X1_74
NAND3X1_74 NAND2X1_41
NAND3X1_75 NAND3X1_77
NAND3X1_76 NAND3X1_77
NAND3X1_77 NAND2X1_40
NAND2X1_40 NAND2X1_41
NAND2X1_41 OUTPUT_\desOut[44]  DFFPOSX1_62
INVX1_78 NAND3X1_78
INVX1_79 OAI21X1_84
OAI21X1_84 NAND3X1_78 NAND3X1_81
INVX1_80 AOI22X1_52 NAND3X1_80
INVX1_81 AOI22X1_52 NAND3X1_79
AOI22X1_52 NAND3X1_78
NAND3X1_78 NAND2X1_43
NAND3X1_79 NAND3X1_81
NAND3X1_80 NAND3X1_81
NAND3X1_81 NAND2X1_42
NAND2X1_42 NAND2X1_43
NAND2X1_43 OUTPUT_\desOut[36]  DFFPOSX1_63
INVX1_82 NAND3X1_82
INVX1_83 OAI21X1_85
OAI21X1_85 NAND3X1_82 NAND3X1_85
INVX1_84 AOI22X1_53 NAND3X1_84
INVX1_85 AOI22X1_53 NAND3X1_83
AOI22X1_53 NAND3X1_82
NAND3X1_82 NAND2X1_45
NAND3X1_83 NAND3X1_85
NAND3X1_84 NAND3X1_85
NAND3X1_85 NAND2X1_44
NAND2X1_44 NAND2X1_45
NAND2X1_45 OUTPUT_\desOut[28]  DFFPOSX1_64
INVX1_86 NAND3X1_86
INVX1_87 OAI21X1_86
OAI21X1_86 NAND3X1_86 NAND3X1_89
INVX1_88 AOI22X1_54 NAND3X1_88
INVX1_89 AOI22X1_54 NAND3X1_87
AOI22X1_54 NAND3X1_86
NAND3X1_86 NAND2X1_47
NAND3X1_87 NAND3X1_89
NAND3X1_88 NAND3X1_89
NAND3X1_89 NAND2X1_46
NAND2X1_46 NAND2X1_47
NAND2X1_47 OUTPUT_\desOut[20]  DFFPOSX1_1
INVX1_90 NAND3X1_90
INVX1_91 OAI21X1_87
OAI21X1_87 NAND3X1_90 NAND3X1_93
INVX1_92 AOI22X1_55 NAND3X1_92
INVX1_93 AOI22X1_55 NAND3X1_91
AOI22X1_55 NAND3X1_90
NAND3X1_90 NAND2X1_49
NAND3X1_91 NAND3X1_93
NAND3X1_92 NAND3X1_93
NAND3X1_93 NAND2X1_48
NAND2X1_48 NAND2X1_49
NAND2X1_49 OUTPUT_\desOut[12]  DFFPOSX1_2
INVX1_94 OAI21X1_88
OAI21X1_88 NAND3X1_96 NAND3X1_97
INVX1_95 NAND3X1_94 AOI22X1_56
NAND3X1_94 NAND3X1_96
INVX1_96 NAND3X1_95 AOI22X1_56
NAND3X1_95 NAND3X1_96
NAND3X1_96 NAND2X1_50
NAND2X1_50 NAND2X1_51
INVX1_97 NAND3X1_97
AOI22X1_56 NAND3X1_97
NAND3X1_97 NAND2X1_51
NAND2X1_51 OUTPUT_\desOut[4]  DFFPOSX1_3
INVX1_98 NAND3X1_98
INVX1_99 OAI21X1_89
OAI21X1_89 NAND3X1_98 NAND3X1_101
INVX1_100 AOI22X1_57 NAND3X1_100
INVX1_101 AOI22X1_57 NAND3X1_99
AOI22X1_57 NAND3X1_98
NAND3X1_98 NAND2X1_53
NAND3X1_99 NAND3X1_101
NAND3X1_100 NAND3X1_101
NAND3X1_101 NAND2X1_52
NAND2X1_52 NAND2X1_53
NAND2X1_53 OUTPUT_\desOut[62]  DFFPOSX1_4
INVX1_102 NAND3X1_102
INVX1_103 OAI21X1_90
OAI21X1_90 NAND3X1_102 NAND3X1_105
INVX1_104 AOI22X1_58 NAND3X1_104
INVX1_105 AOI22X1_58 NAND3X1_103
AOI22X1_58 NAND3X1_102
NAND3X1_102 NAND2X1_55
NAND3X1_103 NAND3X1_105
NAND3X1_104 NAND3X1_105
NAND3X1_105 NAND2X1_54
NAND2X1_54 NAND2X1_55
NAND2X1_55 OUTPUT_\desOut[54]  DFFPOSX1_5
INVX1_106 NAND3X1_106
INVX1_107 OAI21X1_91
OAI21X1_91 NAND3X1_106 NAND3X1_109
INVX1_108 AOI22X1_59 NAND3X1_108
INVX1_109 AOI22X1_59 NAND3X1_107
AOI22X1_59 NAND3X1_106
NAND3X1_106 NAND2X1_57
NAND3X1_107 NAND3X1_109
NAND3X1_108 NAND3X1_109
NAND3X1_109 NAND2X1_56
NAND2X1_56 NAND2X1_57
NAND2X1_57 OUTPUT_\desOut[46]  DFFPOSX1_6
INVX1_110 NAND3X1_110
INVX1_111 OAI21X1_92
OAI21X1_92 NAND3X1_110 NAND3X1_113
INVX1_112 AOI22X1_60 NAND3X1_112
INVX1_113 AOI22X1_60 NAND3X1_111
AOI22X1_60 NAND3X1_110
NAND3X1_110 NAND2X1_59
NAND3X1_111 NAND3X1_113
NAND3X1_112 NAND3X1_113
NAND3X1_113 NAND2X1_58
NAND2X1_58 NAND2X1_59
NAND2X1_59 OUTPUT_\desOut[38]  DFFPOSX1_7
INVX1_114 NAND3X1_114
INVX1_115 OAI21X1_93
OAI21X1_93 NAND3X1_114 NAND3X1_117
INVX1_116 AOI22X1_61 NAND3X1_116
INVX1_117 AOI22X1_61 NAND3X1_115
AOI22X1_61 NAND3X1_114
NAND3X1_114 NAND2X1_61
NAND3X1_115 NAND3X1_117
NAND3X1_116 NAND3X1_117
NAND3X1_117 NAND2X1_60
NAND2X1_60 NAND2X1_61
NAND2X1_61 OUTPUT_\desOut[30]  DFFPOSX1_8
INVX1_118 NAND3X1_118
INVX1_119 OAI21X1_94
OAI21X1_94 NAND3X1_118 NAND3X1_121
INVX1_120 AOI22X1_62 NAND3X1_120
INVX1_121 AOI22X1_62 NAND3X1_119
AOI22X1_62 NAND3X1_118
NAND3X1_118 NAND2X1_63
NAND3X1_119 NAND3X1_121
NAND3X1_120 NAND3X1_121
NAND3X1_121 NAND2X1_62
NAND2X1_62 NAND2X1_63
NAND2X1_63 OUTPUT_\desOut[22]  DFFPOSX1_9
INVX1_122 NAND3X1_122
INVX1_123 OAI21X1_95
OAI21X1_95 NAND3X1_122 NAND3X1_125
INVX1_124 AOI22X1_63 NAND3X1_124
INVX1_125 AOI22X1_63 NAND3X1_123
AOI22X1_63 NAND3X1_122
NAND3X1_122 NAND2X1_65
NAND3X1_123 NAND3X1_125
NAND3X1_124 NAND3X1_125
NAND3X1_125 NAND2X1_64
NAND2X1_64 NAND2X1_65
NAND2X1_65 OUTPUT_\desOut[14]  DFFPOSX1_10
INVX1_126 OAI21X1_96
OAI21X1_96 NAND3X1_128 NAND3X1_129
INVX1_127 NAND3X1_126 AOI22X1_64
NAND3X1_126 NAND3X1_128
INVX1_128 NAND3X1_127 AOI22X1_64
NAND3X1_127 NAND3X1_128
NAND3X1_128 NAND2X1_66
NAND2X1_66 NAND2X1_67
INVX1_129 NAND3X1_129
AOI22X1_64 NAND3X1_129
NAND3X1_129 NAND2X1_67
NAND2X1_67 OUTPUT_\desOut[6]  DFFPOSX1_11
DFFPOSX1_1 OAI21X1_43 INVX1_88
DFFPOSX1_2 OAI21X1_45 INVX1_92
DFFPOSX1_3 OAI21X1_47 INVX1_96
DFFPOSX1_4 OAI21X1_49 INVX1_100
DFFPOSX1_5 OAI21X1_51 INVX1_104
DFFPOSX1_6 OAI21X1_53 INVX1_108
DFFPOSX1_7 OAI21X1_55 INVX1_112
DFFPOSX1_8 OAI21X1_57 INVX1_116
DFFPOSX1_9 OAI21X1_59 INVX1_120
DFFPOSX1_10 OAI21X1_61 INVX1_124
DFFPOSX1_11 OAI21X1_63 INVX1_128
DFFPOSX1_12 AOI22X1_1 INVX1_3
DFFPOSX1_13 AOI22X1_2 INVX1_7
DFFPOSX1_14 AOI22X1_3 INVX1_11
DFFPOSX1_15 AOI22X1_4 INVX1_15
DFFPOSX1_16 AOI22X1_5 INVX1_19
DFFPOSX1_17 AOI22X1_6 INVX1_22
DFFPOSX1_18 AOI22X1_7 INVX1_26
DFFPOSX1_19 AOI22X1_8 INVX1_30
DFFPOSX1_20 AOI22X1_9 INVX1_35
DFFPOSX1_21 AOI22X1_10 INVX1_39
DFFPOSX1_22 AOI22X1_11 INVX1_43
DFFPOSX1_23 AOI22X1_12 INVX1_46
DFFPOSX1_24 AOI22X1_13 INVX1_51
DFFPOSX1_25 AOI22X1_14 INVX1_55
DFFPOSX1_26 AOI22X1_15 INVX1_59
DFFPOSX1_27 AOI22X1_16 INVX1_63
DFFPOSX1_28 AOI22X1_17 INVX1_67
DFFPOSX1_29 AOI22X1_18 INVX1_71
DFFPOSX1_30 AOI22X1_19 INVX1_75
DFFPOSX1_31 AOI22X1_20 INVX1_79
DFFPOSX1_32 AOI22X1_21 INVX1_83
DFFPOSX1_33 AOI22X1_22 INVX1_87
DFFPOSX1_34 AOI22X1_23 INVX1_91
DFFPOSX1_35 AOI22X1_24 INVX1_94
DFFPOSX1_36 AOI22X1_25 INVX1_99
DFFPOSX1_37 AOI22X1_26 INVX1_103
DFFPOSX1_38 AOI22X1_27 INVX1_107
DFFPOSX1_39 AOI22X1_28 INVX1_111
DFFPOSX1_40 AOI22X1_29 INVX1_115
DFFPOSX1_41 AOI22X1_30 INVX1_119
DFFPOSX1_42 AOI22X1_31 INVX1_123
DFFPOSX1_43 AOI22X1_32 INVX1_126
DFFPOSX1_44 OAI21X1_1 INVX1_4
DFFPOSX1_45 OAI21X1_3 INVX1_8
DFFPOSX1_46 OAI21X1_5 INVX1_12
DFFPOSX1_47 OAI21X1_7 INVX1_16
DFFPOSX1_48 OAI21X1_9 INVX1_20
DFFPOSX1_49 OAI21X1_11 INVX1_24
DFFPOSX1_50 OAI21X1_13 INVX1_28
DFFPOSX1_51 OAI21X1_15 INVX1_32
DFFPOSX1_52 OAI21X1_17 INVX1_36
DFFPOSX1_53 OAI21X1_19 INVX1_40
DFFPOSX1_54 OAI21X1_21 INVX1_44
DFFPOSX1_55 OAI21X1_23 INVX1_48
DFFPOSX1_56 OAI21X1_25 INVX1_52
DFFPOSX1_57 OAI21X1_27 INVX1_56
DFFPOSX1_58 OAI21X1_29 INVX1_60
DFFPOSX1_59 OAI21X1_31 INVX1_64
DFFPOSX1_60 OAI21X1_33 INVX1_68
DFFPOSX1_61 OAI21X1_35 INVX1_72
DFFPOSX1_62 OAI21X1_37 INVX1_76
DFFPOSX1_63 OAI21X1_39 INVX1_80
DFFPOSX1_64 OAI21X1_41 INVX1_84
NOR2X1_6 NOR2X1_7
AND2X2_3 NOR2X1_7
NOR2X1_7 NAND2X1_286 INVX1_221 NOR2X1_317 NAND2X1_289 NOR2X1_319
NOR2X1_8 NOR2X1_9
AND2X2_4 NOR2X1_9
NOR2X1_9 AND2X2_97 NOR2X1_316 INVX1_226 NAND2X1_292 NAND3X1_281 NAND2X1_297 NOR2X1_330
NOR2X1_10 NOR2X1_11
AND2X2_5 NOR2X1_11
NOR2X1_11 AND2X2_97 NOR2X1_316 NAND3X1_280 NAND2X1_291 INVX1_229 NAND2X1_297 NOR2X1_332 NAND3X1_296
NOR2X1_12 NOR2X1_13
AND2X2_6 NOR2X1_13
NOR2X1_13 INVX1_222 NAND3X1_279 NOR2X1_315 NAND2X1_290 AND2X2_98 NAND2X1_296 NOR2X1_335 NAND3X1_292
NOR2X1_14 NOR2X1_15
AND2X2_7 NOR2X1_15
NOR2X1_15 NAND3X1_278 INVX1_223 NOR2X1_315 NAND2X1_290 NAND2X1_293 AND2X2_98 NOR2X1_329 NAND3X1_283
NOR2X1_16 NOR2X1_17
AND2X2_8 NOR2X1_17
NOR2X1_17 NAND2X1_286 NAND2X1_287 NOR2X1_317 INVX1_225 NOR2X1_322
NOR2X1_18 NOR2X1_19
AND2X2_9 NOR2X1_19
NOR2X1_19 NAND2X1_252 NOR2X1_285 NOR2X1_288 NAND2X1_254 INVX1_216
NOR2X1_20 NOR2X1_21
AND2X2_10 NOR2X1_21
NOR2X1_21 NOR2X1_286 AND2X2_93 INVX1_213 NAND2X1_259 NOR2X1_294 NAND3X1_263 NAND2X1_274
NOR2X1_22 NOR2X1_23
AND2X2_11 NOR2X1_23
NOR2X1_23 NOR2X1_286 AND2X2_93 NAND2X1_256 NAND2X1_259 NAND3X1_261 INVX1_217 NOR2X1_296 NAND3X1_265
NOR2X1_24 NOR2X1_25
AND2X2_12 NOR2X1_25
NOR2X1_25 NAND3X1_259 NOR2X1_287 AND2X2_92 NAND2X1_257 INVX1_214 NOR2X1_293 NAND3X1_266 NAND2X1_273
NOR2X1_26 NOR2X1_27
AND2X2_13 NOR2X1_27
NOR2X1_27 INVX1_208 NOR2X1_287 AND2X2_92 NAND2X1_260 NAND3X1_260 NOR2X1_295 NAND2X1_273
NOR2X1_28 NOR2X1_29
AND2X2_14 NOR2X1_29
NOR2X1_29 NAND2X1_252 INVX1_207 NOR2X1_288 NAND2X1_263
NOR2X1_30 NOR2X1_31
AND2X2_15 NOR2X1_31
NOR2X1_31 AND2X2_84 NOR2X1_257 NAND2X1_220 NOR2X1_259 INVX1_198
NOR2X1_32 NOR2X1_33
AND2X2_16 NOR2X1_33
NOR2X1_33 INVX1_193 AND2X2_85 NOR2X1_261 NAND3X1_239 NOR2X1_264 NAND3X1_245 NAND2X1_231 NAND2X1_233
NOR2X1_34 NOR2X1_35
AND2X2_17 NOR2X1_35
NOR2X1_35 NOR2X1_256 AND2X2_85 NAND3X1_235 NOR2X1_261 INVX1_199 NAND2X1_225 NAND3X1_244 NAND2X1_233
NOR2X1_36 NOR2X1_37
AND2X2_18 NOR2X1_37
NOR2X1_37 INVX1_192 NOR2X1_258 NAND3X1_234 AND2X2_86 NAND3X1_238 NAND2X1_224 NOR2X1_265 NAND2X1_232
NOR2X1_38 NOR2X1_39
AND2X2_19 NOR2X1_39
NOR2X1_39 NOR2X1_255 NOR2X1_258 INVX1_195 AND2X2_86 NAND3X1_236 NAND3X1_237 NAND2X1_232 NAND2X1_234
NOR2X1_40 NOR2X1_41
AND2X2_20 NOR2X1_41
NOR2X1_41 AND2X2_84 INVX1_194 NOR2X1_259 NAND2X1_221 NOR2X1_266
NOR2X1_42 NOR2X1_43
AND2X2_21 NOR2X1_43
NOR2X1_43 NAND2X1_190 INVX1_181 NOR2X1_228 NAND2X1_202
NOR2X1_44 NOR2X1_45
AND2X2_22 NOR2X1_45
NOR2X1_45 AND2X2_76 INVX1_184 NAND2X1_195 NOR2X1_229 NOR2X1_235 NAND2X1_208 NAND3X1_219
NOR2X1_46 NOR2X1_47
AND2X2_23 NOR2X1_47
NOR2X1_47 AND2X2_76 NAND2X1_194 INVX1_185 NOR2X1_229 NAND3X1_214 NOR2X1_236 NAND2X1_208
NOR2X1_48 NOR2X1_49
AND2X2_24 NOR2X1_49
NOR2X1_49 NOR2X1_224 NAND2X1_193 NAND3X1_213 INVX1_188 AND2X2_77 NAND2X1_207 NAND3X1_217 NOR2X1_247
NOR2X1_50 NOR2X1_51
AND2X2_25 NOR2X1_51
NOR2X1_51 NOR2X1_224 INVX1_183 NAND2X1_197 NOR2X1_234 AND2X2_77 NAND2X1_207 NAND3X1_216
NOR2X1_52 NOR2X1_53
AND2X2_26 NOR2X1_53
NOR2X1_53 NAND2X1_190 NAND2X1_192 NOR2X1_227 NOR2X1_228 INVX1_189
NOR2X1_54 NOR2X1_55
AND2X2_27 NOR2X1_55
NOR2X1_55 NOR2X1_193 AND2X2_70 NOR2X1_196 INVX1_170 NAND2X1_165
NOR2X1_56 NOR2X1_57
AND2X2_28 NOR2X1_57
NOR2X1_57 NAND2X1_158 INVX1_167 NAND3X1_193 NOR2X1_199 AND2X2_73 NOR2X1_205 NAND2X1_170 NAND3X1_200
NOR2X1_58 NOR2X1_59
AND2X2_29 NOR2X1_59
NOR2X1_59 NAND2X1_158 NAND2X1_159 INVX1_168 NOR2X1_199 NAND3X1_194 NOR2X1_203 AND2X2_73 NAND3X1_196
NOR2X1_60 NOR2X1_61
AND2X2_30 NOR2X1_61
NOR2X1_61 NAND2X1_157 NOR2X1_197 AND2X2_72 INVX1_172 NAND2X1_168 NAND3X1_199 NOR2X1_214
NOR2X1_62 NOR2X1_63
AND2X2_31 NOR2X1_63
NOR2X1_63 INVX1_166 NOR2X1_197 AND2X2_72 NAND2X1_161 NOR2X1_202 NAND3X1_195 NAND3X1_197 NAND2X1_168
NOR2X1_64 NOR2X1_65
AND2X2_32 NOR2X1_65
NOR2X1_65 INVX1_165 AND2X2_70 NOR2X1_196 NOR2X1_198 NAND2X1_163
NOR2X1_66 NOR2X1_67
AND2X2_33 NOR2X1_67
NOR2X1_67 NAND2X1_131 NAND2X1_133 INVX1_153 OR2X2_6 NOR2X1_167 NOR2X1_171
NOR2X1_68 NOR2X1_69
AND2X2_34 NOR2X1_69
NOR2X1_69 AND2X2_66 INVX1_152 NAND3X1_175 NOR2X1_172 NAND2X1_140 NAND3X1_179 NAND2X1_142 NOR2X1_175
NOR2X1_70 NOR2X1_71
AND2X2_35 NOR2X1_71
