#/Users/anjalisarawgi/anaconda3/envs/gnn_parsing/bin/verilog2graph tum-eisec-benchmarks-main/netlist/ecg_latest/verilog/osu035/f3m_cubic.v --output_format txt --do-not-zip -o adjlist/ecg_latest/osu035/f3m_cubic -l lib/osu035_stdcells.lib
# GMT Tue Nov 18 13:51:42 2025
# 
INPUT_\in[0]  OR2X2_9 INVX1_34 NAND3X1_26 OAI21X1_27
OUTPUT_\out[182] 
OUTPUT_\out[183] 
OUTPUT_\out[184] 
OUTPUT_\out[185] 
OUTPUT_\out[186] 
OUTPUT_\out[187] 
OUTPUT_\out[188] 
OUTPUT_\out[189] 
OUTPUT_\out[190] 
OUTPUT_\out[191] 
OUTPUT_\out[192] 
OUTPUT_\out[193] 
OR2X2_1 OAI21X1_1
OAI21X1_1 AND2X2_1
INVX1_1 NAND3X1_3 MUX2X1_1
INVX1_2 NAND3X1_1 OAI21X1_2
INVX1_3 NAND3X1_1 OAI21X1_2
NAND3X1_1 NAND3X1_3 MUX2X1_1
INVX1_4 NAND3X1_2
NAND3X1_2 NAND3X1_3
NAND3X1_3 AND2X2_1
AND2X2_1 OAI21X1_55 INVX1_73 OAI21X1_94 INVX1_125
OAI21X1_2 NAND2X1_1
OAI21X1_3 NAND2X1_1
NAND2X1_1 MUX2X1_1
MUX2X1_1 OAI21X1_55 INVX1_75 NAND3X1_56 OAI21X1_57 OAI21X1_94 INVX1_127 NAND3X1_95 OAI21X1_96
OR2X2_2 OAI21X1_4
OAI21X1_4 AND2X2_2
INVX1_5 NAND3X1_6 MUX2X1_2
INVX1_6 NAND3X1_4 OAI21X1_5
INVX1_7 NAND3X1_4 OAI21X1_5
NAND3X1_4 NAND3X1_6 MUX2X1_2
INVX1_8 NAND3X1_5
NAND3X1_5 NAND3X1_6
NAND3X1_6 AND2X2_2
AND2X2_2 OAI21X1_64 INVX1_85 OAI21X1_106 INVX1_141
OAI21X1_5 NAND2X1_2
OAI21X1_6 NAND2X1_2
NAND2X1_2 MUX2X1_2
MUX2X1_2 OAI21X1_64 INVX1_87 NAND3X1_65 OAI21X1_66 OAI21X1_106 INVX1_143 NAND3X1_107 OAI21X1_108
OR2X2_3 OAI21X1_7
OAI21X1_7 AND2X2_3
INVX1_9 NAND3X1_9 MUX2X1_3
INVX1_10 NAND3X1_7 OAI21X1_8
INVX1_11 NAND3X1_7 OAI21X1_8
NAND3X1_7 NAND3X1_9 MUX2X1_3
INVX1_12 NAND3X1_8
NAND3X1_8 NAND3X1_9
NAND3X1_9 AND2X2_3
AND2X2_3 OAI21X1_196 INVX1_261 OAI21X1_223 INVX1_297
OAI21X1_8 NAND2X1_3
OAI21X1_9 NAND2X1_3
NAND2X1_3 MUX2X1_3
MUX2X1_3 OAI21X1_196 INVX1_263 NAND3X1_197 OAI21X1_198 OAI21X1_223 INVX1_299 NAND3X1_224 OAI21X1_225
OR2X2_4 OAI21X1_10
OAI21X1_10 AND2X2_4
INVX1_13 NAND3X1_12 MUX2X1_4
INVX1_14 NAND3X1_10 OAI21X1_11
INVX1_15 NAND3X1_10 OAI21X1_11
NAND3X1_10 NAND3X1_12 MUX2X1_4
INVX1_16 NAND3X1_11
NAND3X1_11 NAND3X1_12
NAND3X1_12 AND2X2_4
AND2X2_4 OAI21X1_205 INVX1_273 OAI21X1_229 INVX1_305
OAI21X1_11 NAND2X1_4
OAI21X1_12 NAND2X1_4
NAND2X1_4 MUX2X1_4
MUX2X1_4 OAI21X1_205 INVX1_275 NAND3X1_206 OAI21X1_207 OAI21X1_229 INVX1_307 NAND3X1_230 OAI21X1_231
OR2X2_5 OAI21X1_13
OAI21X1_13 AND2X2_5
INVX1_17 NAND3X1_15 MUX2X1_5
INVX1_18 NAND3X1_13 OAI21X1_14
INVX1_19 NAND3X1_13 OAI21X1_14
NAND3X1_13 NAND3X1_15 MUX2X1_5
INVX1_20 NAND3X1_14
NAND3X1_14 NAND3X1_15
NAND3X1_15 AND2X2_5
AND2X2_5 OAI21X1_25 INVX1_33 OAI21X1_238 INVX1_317
OAI21X1_14 NAND2X1_5
OAI21X1_15 NAND2X1_5
NAND2X1_5 MUX2X1_5
MUX2X1_5 OAI21X1_25 INVX1_35 NAND3X1_26 OAI21X1_27 OAI21X1_238 INVX1_319 NAND3X1_239 OAI21X1_240
OR2X2_6 OAI21X1_16
OAI21X1_16 AND2X2_6
INVX1_21 NAND3X1_18 MUX2X1_6
INVX1_22 NAND3X1_16 OAI21X1_17
INVX1_23 NAND3X1_16 OAI21X1_17
NAND3X1_16 NAND3X1_18 MUX2X1_6
INVX1_24 NAND3X1_17
NAND3X1_17 NAND3X1_18
NAND3X1_18 AND2X2_6
AND2X2_6 OAI21X1_31 INVX1_41 OAI21X1_244 INVX1_325
OAI21X1_17 NAND2X1_6
OAI21X1_18 NAND2X1_6
NAND2X1_6 MUX2X1_6
MUX2X1_6 OAI21X1_31 INVX1_43 NAND3X1_32 OAI21X1_33 OAI21X1_244 INVX1_327 NAND3X1_245 OAI21X1_246
OR2X2_7 OAI21X1_19
OAI21X1_19 AND2X2_7
INVX1_25 NAND3X1_21 MUX2X1_7
INVX1_26 NAND3X1_19 OAI21X1_20
INVX1_27 NAND3X1_19 OAI21X1_20
NAND3X1_19 NAND3X1_21 MUX2X1_7
INVX1_28 NAND3X1_20
NAND3X1_20 NAND3X1_21
NAND3X1_21 AND2X2_7
AND2X2_7 OAI21X1_40 INVX1_53 OAI21X1_250 INVX1_333
OAI21X1_20 NAND2X1_7
OAI21X1_21 NAND2X1_7
NAND2X1_7 MUX2X1_7
MUX2X1_7 OAI21X1_40 INVX1_55 NAND3X1_41 OAI21X1_42 OAI21X1_250 INVX1_335 NAND3X1_251 OAI21X1_252
OR2X2_8 OAI21X1_22
OAI21X1_22 AND2X2_8
INVX1_29 NAND3X1_24 MUX2X1_8
INVX1_30 NAND3X1_22 OAI21X1_23
INVX1_31 NAND3X1_22 OAI21X1_23
NAND3X1_22 NAND3X1_24 MUX2X1_8
INVX1_32 NAND3X1_23
NAND3X1_23 NAND3X1_24
NAND3X1_24 AND2X2_8
AND2X2_8 OAI21X1_46 INVX1_61 OAI21X1_256 INVX1_341
OAI21X1_23 NAND2X1_8
OAI21X1_24 NAND2X1_8
NAND2X1_8 MUX2X1_8
MUX2X1_8 OAI21X1_46 INVX1_63 NAND3X1_47 OAI21X1_48 OAI21X1_256 INVX1_343 NAND3X1_257 OAI21X1_258
OR2X2_9 OAI21X1_25
OAI21X1_25 AND2X2_9
INVX1_33 NAND3X1_27 MUX2X1_9
INVX1_34 NAND3X1_25 OAI21X1_26
INVX1_35 NAND3X1_25 OAI21X1_26
NAND3X1_25 NAND3X1_27 MUX2X1_9
INVX1_36 NAND3X1_26
NAND3X1_26 NAND3X1_27
NAND3X1_27 AND2X2_9
AND2X2_9
OAI21X1_26 NAND2X1_9
OAI21X1_27 NAND2X1_9
NAND2X1_9 MUX2X1_9
MUX2X1_9
OR2X2_10 OAI21X1_28
OAI21X1_28 AND2X2_10
INVX1_37 NAND3X1_30 MUX2X1_10
INVX1_38 NAND3X1_28 OAI21X1_29
INVX1_39 NAND3X1_28 OAI21X1_29
NAND3X1_28 NAND3X1_30 MUX2X1_10
INVX1_40 NAND3X1_29
NAND3X1_29 NAND3X1_30
NAND3X1_30 AND2X2_10
AND2X2_10
OAI21X1_29 NAND2X1_10
OAI21X1_30 NAND2X1_10
NAND2X1_10 MUX2X1_10
MUX2X1_10
OR2X2_11 OAI21X1_31
OAI21X1_31 AND2X2_11
INVX1_41 NAND3X1_33 MUX2X1_11
INVX1_42 NAND3X1_31 OAI21X1_32
INVX1_43 NAND3X1_31 OAI21X1_32
NAND3X1_31 NAND3X1_33 MUX2X1_11
INVX1_44 NAND3X1_32
NAND3X1_32 NAND3X1_33
NAND3X1_33 AND2X2_11
AND2X2_11
OAI21X1_32 NAND2X1_11
OAI21X1_33 NAND2X1_11
NAND2X1_11 MUX2X1_11
MUX2X1_11
OR2X2_12 OAI21X1_34
OAI21X1_34 AND2X2_12
INVX1_45 NAND3X1_36 MUX2X1_12
INVX1_46 NAND3X1_34 OAI21X1_35
INVX1_47 NAND3X1_34 OAI21X1_35
NAND3X1_34 NAND3X1_36 MUX2X1_12
INVX1_48 NAND3X1_35
NAND3X1_35 NAND3X1_36
NAND3X1_36 AND2X2_12
AND2X2_12
OAI21X1_35 NAND2X1_12
OAI21X1_36 NAND2X1_12
NAND2X1_12 MUX2X1_12
MUX2X1_12
OR2X2_13 OAI21X1_37
OAI21X1_37 AND2X2_13
INVX1_49 NAND3X1_39 MUX2X1_13
INVX1_50 NAND3X1_37 OAI21X1_38
INVX1_51 NAND3X1_37 OAI21X1_38
NAND3X1_37 NAND3X1_39 MUX2X1_13
INVX1_52 NAND3X1_38
NAND3X1_38 NAND3X1_39
NAND3X1_39 AND2X2_13
AND2X2_13 OAI21X1_76 INVX1_101 OAI21X1_115 INVX1_153
OAI21X1_38 NAND2X1_13
OAI21X1_39 NAND2X1_13
NAND2X1_13 MUX2X1_13
MUX2X1_13 OAI21X1_76 INVX1_103 NAND3X1_77 OAI21X1_78 OAI21X1_115 INVX1_155 NAND3X1_116 OAI21X1_117
OR2X2_14 OAI21X1_40
OAI21X1_40 AND2X2_14
INVX1_53 NAND3X1_42 MUX2X1_14
INVX1_54 NAND3X1_40 OAI21X1_41
INVX1_55 NAND3X1_40 OAI21X1_41
NAND3X1_40 NAND3X1_42 MUX2X1_14
INVX1_56 NAND3X1_41
NAND3X1_41 NAND3X1_42
NAND3X1_42 AND2X2_14
AND2X2_14
OAI21X1_41 NAND2X1_14
OAI21X1_42 NAND2X1_14
NAND2X1_14 MUX2X1_14
MUX2X1_14
OR2X2_15 OAI21X1_43
OAI21X1_43 AND2X2_15
INVX1_57 NAND3X1_45 MUX2X1_15
INVX1_58 NAND3X1_43 OAI21X1_44
INVX1_59 NAND3X1_43 OAI21X1_44
NAND3X1_43 NAND3X1_45 MUX2X1_15
INVX1_60 NAND3X1_44
NAND3X1_44 NAND3X1_45
NAND3X1_45 AND2X2_15
AND2X2_15
OAI21X1_44 NAND2X1_15
OAI21X1_45 NAND2X1_15
NAND2X1_15 MUX2X1_15
MUX2X1_15
OR2X2_16 OAI21X1_46
OAI21X1_46 AND2X2_16
INVX1_61 NAND3X1_48 MUX2X1_16
INVX1_62 NAND3X1_46 OAI21X1_47
INVX1_63 NAND3X1_46 OAI21X1_47
NAND3X1_46 NAND3X1_48 MUX2X1_16
INVX1_64 NAND3X1_47
NAND3X1_47 NAND3X1_48
NAND3X1_48 AND2X2_16
AND2X2_16
OAI21X1_47 NAND2X1_16
OAI21X1_48 NAND2X1_16
NAND2X1_16 MUX2X1_16
MUX2X1_16
OR2X2_17 OAI21X1_49
OAI21X1_49 AND2X2_17
INVX1_65 NAND3X1_51 MUX2X1_17
INVX1_66 NAND3X1_49 OAI21X1_50
INVX1_67 NAND3X1_49 OAI21X1_50
NAND3X1_49 NAND3X1_51 MUX2X1_17
INVX1_68 NAND3X1_50
NAND3X1_50 NAND3X1_51
NAND3X1_51 AND2X2_17
AND2X2_17
OAI21X1_50 NAND2X1_17
OAI21X1_51 NAND2X1_17
NAND2X1_17 MUX2X1_17
MUX2X1_17
OR2X2_18 OAI21X1_52
OAI21X1_52 AND2X2_18
INVX1_69 NAND3X1_54 MUX2X1_18
INVX1_70 NAND3X1_52 OAI21X1_53
INVX1_71 NAND3X1_52 OAI21X1_53
NAND3X1_52 NAND3X1_54 MUX2X1_18
INVX1_72 NAND3X1_53
NAND3X1_53 NAND3X1_54
NAND3X1_54 AND2X2_18
AND2X2_18
OAI21X1_53 NAND2X1_18
OAI21X1_54 NAND2X1_18
NAND2X1_18 MUX2X1_18
MUX2X1_18
OR2X2_19 OAI21X1_55
OAI21X1_55 AND2X2_19
INVX1_73 NAND3X1_57 MUX2X1_19
INVX1_74 NAND3X1_55 OAI21X1_56
INVX1_75 NAND3X1_55 OAI21X1_56
NAND3X1_55 NAND3X1_57 MUX2X1_19
INVX1_76 NAND3X1_56
NAND3X1_56 NAND3X1_57
NAND3X1_57 AND2X2_19
AND2X2_19
OAI21X1_56 NAND2X1_19
OAI21X1_57 NAND2X1_19
NAND2X1_19 MUX2X1_19
MUX2X1_19
OR2X2_20 OAI21X1_58
OAI21X1_58 AND2X2_20
INVX1_77 NAND3X1_60 MUX2X1_20
INVX1_78 NAND3X1_58 OAI21X1_59
INVX1_79 NAND3X1_58 OAI21X1_59
NAND3X1_58 NAND3X1_60 MUX2X1_20
INVX1_80 NAND3X1_59
NAND3X1_59 NAND3X1_60
NAND3X1_60 AND2X2_20
AND2X2_20
OAI21X1_59 NAND2X1_20
OAI21X1_60 NAND2X1_20
NAND2X1_20 MUX2X1_20
MUX2X1_20
OR2X2_21 OAI21X1_61
OAI21X1_61 AND2X2_21
INVX1_81 NAND3X1_63 MUX2X1_21
INVX1_82 NAND3X1_61 OAI21X1_62
INVX1_83 NAND3X1_61 OAI21X1_62
NAND3X1_61 NAND3X1_63 MUX2X1_21
INVX1_84 NAND3X1_62
NAND3X1_62 NAND3X1_63
NAND3X1_63 AND2X2_21
AND2X2_21
OAI21X1_62 NAND2X1_21
OAI21X1_63 NAND2X1_21
NAND2X1_21 MUX2X1_21
MUX2X1_21
OR2X2_22 OAI21X1_64
OAI21X1_64 AND2X2_22
INVX1_85 NAND3X1_66 MUX2X1_22
INVX1_86 NAND3X1_64 OAI21X1_65
INVX1_87 NAND3X1_64 OAI21X1_65
NAND3X1_64 NAND3X1_66 MUX2X1_22
INVX1_88 NAND3X1_65
NAND3X1_65 NAND3X1_66
NAND3X1_66 AND2X2_22
AND2X2_22
OAI21X1_65 NAND2X1_22
OAI21X1_66 NAND2X1_22
NAND2X1_22 MUX2X1_22
MUX2X1_22
OR2X2_23 OAI21X1_67
OAI21X1_67 AND2X2_23
INVX1_89 NAND3X1_69 MUX2X1_23
INVX1_90 NAND3X1_67 OAI21X1_68
INVX1_91 NAND3X1_67 OAI21X1_68
NAND3X1_67 NAND3X1_69 MUX2X1_23
INVX1_92 NAND3X1_68
NAND3X1_68 NAND3X1_69
NAND3X1_69 AND2X2_23
AND2X2_23
OAI21X1_68 NAND2X1_23
OAI21X1_69 NAND2X1_23
NAND2X1_23 MUX2X1_23
MUX2X1_23
OR2X2_24 OAI21X1_70
OAI21X1_70 AND2X2_24
INVX1_93 NAND3X1_72 MUX2X1_24
INVX1_94 NAND3X1_70 OAI21X1_71
INVX1_95 NAND3X1_70 OAI21X1_71
NAND3X1_70 NAND3X1_72 MUX2X1_24
INVX1_96 NAND3X1_71
NAND3X1_71 NAND3X1_72
NAND3X1_72 AND2X2_24
AND2X2_24 OAI21X1_85 INVX1_113 OAI21X1_124 INVX1_165
OAI21X1_71 NAND2X1_24
OAI21X1_72 NAND2X1_24
NAND2X1_24 MUX2X1_24
MUX2X1_24 OAI21X1_85 INVX1_115 NAND3X1_86 OAI21X1_87 OAI21X1_124 INVX1_167 NAND3X1_125 OAI21X1_126
OR2X2_25 OAI21X1_73
OAI21X1_73 AND2X2_25
INVX1_97 NAND3X1_75 MUX2X1_25
INVX1_98 NAND3X1_73 OAI21X1_74
INVX1_99 NAND3X1_73 OAI21X1_74
NAND3X1_73 NAND3X1_75 MUX2X1_25
INVX1_100 NAND3X1_74
NAND3X1_74 NAND3X1_75
NAND3X1_75 AND2X2_25
AND2X2_25
OAI21X1_74 NAND2X1_25
OAI21X1_75 NAND2X1_25
NAND2X1_25 MUX2X1_25
MUX2X1_25
OR2X2_26 OAI21X1_76
OAI21X1_76 AND2X2_26
INVX1_101 NAND3X1_78 MUX2X1_26
INVX1_102 NAND3X1_76 OAI21X1_77
INVX1_103 NAND3X1_76 OAI21X1_77
NAND3X1_76 NAND3X1_78 MUX2X1_26
INVX1_104 NAND3X1_77
NAND3X1_77 NAND3X1_78
NAND3X1_78 AND2X2_26
AND2X2_26
OAI21X1_77 NAND2X1_26
OAI21X1_78 NAND2X1_26
NAND2X1_26 MUX2X1_26
MUX2X1_26
OR2X2_27 OAI21X1_79
OAI21X1_79 AND2X2_27
INVX1_105 NAND3X1_81 MUX2X1_27
INVX1_106 NAND3X1_79 OAI21X1_80
INVX1_107 NAND3X1_79 OAI21X1_80
NAND3X1_79 NAND3X1_81 MUX2X1_27
INVX1_108 NAND3X1_80
NAND3X1_80 NAND3X1_81
NAND3X1_81 AND2X2_27
AND2X2_27
OAI21X1_80 NAND2X1_27
OAI21X1_81 NAND2X1_27
NAND2X1_27 MUX2X1_27
MUX2X1_27
OR2X2_28 OAI21X1_82
OAI21X1_82 AND2X2_28
INVX1_109 NAND3X1_84 MUX2X1_28
INVX1_110 NAND3X1_82 OAI21X1_83
INVX1_111 NAND3X1_82 OAI21X1_83
NAND3X1_82 NAND3X1_84 MUX2X1_28
INVX1_112 NAND3X1_83
NAND3X1_83 NAND3X1_84
NAND3X1_84 AND2X2_28
AND2X2_28
OAI21X1_83 NAND2X1_28
OAI21X1_84 NAND2X1_28
NAND2X1_28 MUX2X1_28
MUX2X1_28
OR2X2_29 OAI21X1_85
OAI21X1_85 AND2X2_29
INVX1_113 NAND3X1_87 MUX2X1_29
INVX1_114 NAND3X1_85 OAI21X1_86
INVX1_115 NAND3X1_85 OAI21X1_86
NAND3X1_85 NAND3X1_87 MUX2X1_29
INVX1_116 NAND3X1_86
NAND3X1_86 NAND3X1_87
NAND3X1_87 AND2X2_29
AND2X2_29
OAI21X1_86 NAND2X1_29
OAI21X1_87 NAND2X1_29
NAND2X1_29 MUX2X1_29
MUX2X1_29
OR2X2_30 OAI21X1_88
OAI21X1_88 AND2X2_30
INVX1_117 NAND3X1_90 MUX2X1_30
INVX1_118 NAND3X1_88 OAI21X1_89
INVX1_119 NAND3X1_88 OAI21X1_89
NAND3X1_88 NAND3X1_90 MUX2X1_30
INVX1_120 NAND3X1_89
NAND3X1_89 NAND3X1_90
NAND3X1_90 AND2X2_30
AND2X2_30
OAI21X1_89 NAND2X1_30
OAI21X1_90 NAND2X1_30
NAND2X1_30 MUX2X1_30
MUX2X1_30
OR2X2_31 OAI21X1_91
OAI21X1_91 AND2X2_31
INVX1_121 NAND3X1_93 MUX2X1_31
INVX1_122 NAND3X1_91 OAI21X1_92
INVX1_123 NAND3X1_91 OAI21X1_92
NAND3X1_91 NAND3X1_93 MUX2X1_31
INVX1_124 NAND3X1_92
NAND3X1_92 NAND3X1_93
NAND3X1_93 AND2X2_31
AND2X2_31
OAI21X1_92 NAND2X1_31
OAI21X1_93 NAND2X1_31
NAND2X1_31 MUX2X1_31
MUX2X1_31
OR2X2_32 OAI21X1_94
OAI21X1_94 AND2X2_32
INVX1_125 NAND3X1_96 MUX2X1_32
INVX1_126 NAND3X1_94 OAI21X1_95
INVX1_127 NAND3X1_94 OAI21X1_95
NAND3X1_94 NAND3X1_96 MUX2X1_32
INVX1_128 NAND3X1_95
NAND3X1_95 NAND3X1_96
NAND3X1_96 AND2X2_32
AND2X2_32
OAI21X1_95 NAND2X1_32
OAI21X1_96 NAND2X1_32
NAND2X1_32 MUX2X1_32
MUX2X1_32
OR2X2_33 OAI21X1_97
OAI21X1_97 AND2X2_33
INVX1_129 NAND3X1_99 MUX2X1_33
INVX1_130 NAND3X1_97 OAI21X1_98
INVX1_131 NAND3X1_97 OAI21X1_98
NAND3X1_97 NAND3X1_99 MUX2X1_33
INVX1_132 NAND3X1_98
NAND3X1_98 NAND3X1_99
NAND3X1_99 AND2X2_33
AND2X2_33
OAI21X1_98 NAND2X1_33
OAI21X1_99 NAND2X1_33
NAND2X1_33 MUX2X1_33
MUX2X1_33
OR2X2_34 OAI21X1_100
OAI21X1_100 AND2X2_34
INVX1_133 NAND3X1_102 MUX2X1_34
INVX1_134 NAND3X1_100 OAI21X1_101
INVX1_135 NAND3X1_100 OAI21X1_101
NAND3X1_100 NAND3X1_102 MUX2X1_34
INVX1_136 NAND3X1_101
NAND3X1_101 NAND3X1_102
NAND3X1_102 AND2X2_34
AND2X2_34
OAI21X1_101 NAND2X1_34
OAI21X1_102 NAND2X1_34
NAND2X1_34 MUX2X1_34
MUX2X1_34
OR2X2_35 OAI21X1_103
OAI21X1_103 AND2X2_35
INVX1_137 NAND3X1_105 MUX2X1_35
INVX1_138 NAND3X1_103 OAI21X1_104
INVX1_139 NAND3X1_103 OAI21X1_104
NAND3X1_103 NAND3X1_105 MUX2X1_35
INVX1_140 NAND3X1_104
NAND3X1_104 NAND3X1_105
NAND3X1_105 AND2X2_35
AND2X2_35 OAI21X1_130 INVX1_173 OAI21X1_157 INVX1_209
OAI21X1_104 NAND2X1_35
OAI21X1_105 NAND2X1_35
NAND2X1_35 MUX2X1_35
MUX2X1_35 OAI21X1_130 INVX1_175 NAND3X1_131 OAI21X1_132 OAI21X1_157 INVX1_211 NAND3X1_158 OAI21X1_159
OR2X2_36 OAI21X1_106
OAI21X1_106 AND2X2_36
INVX1_141 NAND3X1_108 MUX2X1_36
INVX1_142 NAND3X1_106 OAI21X1_107
INVX1_143 NAND3X1_106 OAI21X1_107
NAND3X1_106 NAND3X1_108 MUX2X1_36
INVX1_144 NAND3X1_107
NAND3X1_107 NAND3X1_108
NAND3X1_108 AND2X2_36
AND2X2_36
OAI21X1_107 NAND2X1_36
OAI21X1_108 NAND2X1_36
NAND2X1_36 MUX2X1_36
MUX2X1_36
OR2X2_37 OAI21X1_109
OAI21X1_109 AND2X2_37
INVX1_145 NAND3X1_111 MUX2X1_37
INVX1_146 NAND3X1_109 OAI21X1_110
INVX1_147 NAND3X1_109 OAI21X1_110
NAND3X1_109 NAND3X1_111 MUX2X1_37
INVX1_148 NAND3X1_110
NAND3X1_110 NAND3X1_111
NAND3X1_111 AND2X2_37
AND2X2_37
OAI21X1_110 NAND2X1_37
OAI21X1_111 NAND2X1_37
NAND2X1_37 MUX2X1_37
MUX2X1_37
OR2X2_38 OAI21X1_112
OAI21X1_112 AND2X2_38
INVX1_149 NAND3X1_114 MUX2X1_38
INVX1_150 NAND3X1_112 OAI21X1_113
INVX1_151 NAND3X1_112 OAI21X1_113
NAND3X1_112 NAND3X1_114 MUX2X1_38
INVX1_152 NAND3X1_113
NAND3X1_113 NAND3X1_114
NAND3X1_114 AND2X2_38
AND2X2_38
OAI21X1_113 NAND2X1_38
OAI21X1_114 NAND2X1_38
NAND2X1_38 MUX2X1_38
MUX2X1_38
OR2X2_39 OAI21X1_115
OAI21X1_115 AND2X2_39
INVX1_153 NAND3X1_117 MUX2X1_39
INVX1_154 NAND3X1_115 OAI21X1_116
INVX1_155 NAND3X1_115 OAI21X1_116
NAND3X1_115 NAND3X1_117 MUX2X1_39
INVX1_156 NAND3X1_116
NAND3X1_116 NAND3X1_117
NAND3X1_117 AND2X2_39
AND2X2_39
OAI21X1_116 NAND2X1_39
OAI21X1_117 NAND2X1_39
NAND2X1_39 MUX2X1_39
MUX2X1_39
OR2X2_40 OAI21X1_118
OAI21X1_118 AND2X2_40
INVX1_157 NAND3X1_120 MUX2X1_40
INVX1_158 NAND3X1_118 OAI21X1_119
INVX1_159 NAND3X1_118 OAI21X1_119
NAND3X1_118 NAND3X1_120 MUX2X1_40
INVX1_160 NAND3X1_119
NAND3X1_119 NAND3X1_120
NAND3X1_120 AND2X2_40
AND2X2_40
OAI21X1_119 NAND2X1_40
OAI21X1_120 NAND2X1_40
NAND2X1_40 MUX2X1_40
MUX2X1_40
OR2X2_41 OAI21X1_121
OAI21X1_121 AND2X2_41
INVX1_161 NAND3X1_123 MUX2X1_41
INVX1_162 NAND3X1_121 OAI21X1_122
INVX1_163 NAND3X1_121 OAI21X1_122
NAND3X1_121 NAND3X1_123 MUX2X1_41
INVX1_164 NAND3X1_122
NAND3X1_122 NAND3X1_123
NAND3X1_123 AND2X2_41
AND2X2_41
OAI21X1_122 NAND2X1_41
OAI21X1_123 NAND2X1_41
NAND2X1_41 MUX2X1_41
MUX2X1_41
OR2X2_42 OAI21X1_124
OAI21X1_124 AND2X2_42
INVX1_165 NAND3X1_126 MUX2X1_42
INVX1_166 NAND3X1_124 OAI21X1_125
INVX1_167 NAND3X1_124 OAI21X1_125
NAND3X1_124 NAND3X1_126 MUX2X1_42
INVX1_168 NAND3X1_125
NAND3X1_125 NAND3X1_126
NAND3X1_126 AND2X2_42
AND2X2_42
OAI21X1_125 NAND2X1_42
OAI21X1_126 NAND2X1_42
NAND2X1_42 MUX2X1_42
MUX2X1_42
OR2X2_43 OAI21X1_127
OAI21X1_127 AND2X2_43
INVX1_169 NAND3X1_129 MUX2X1_43
INVX1_170 NAND3X1_127 OAI21X1_128
INVX1_171 NAND3X1_127 OAI21X1_128
NAND3X1_127 NAND3X1_129 MUX2X1_43
INVX1_172 NAND3X1_128
NAND3X1_128 NAND3X1_129
NAND3X1_129 AND2X2_43
AND2X2_43
OAI21X1_128 NAND2X1_43
OAI21X1_129 NAND2X1_43
NAND2X1_43 MUX2X1_43
MUX2X1_43
OR2X2_44 OAI21X1_130
OAI21X1_130 AND2X2_44
INVX1_173 NAND3X1_132 MUX2X1_44
INVX1_174 NAND3X1_130 OAI21X1_131
INVX1_175 NAND3X1_130 OAI21X1_131
NAND3X1_130 NAND3X1_132 MUX2X1_44
INVX1_176 NAND3X1_131
NAND3X1_131 NAND3X1_132
NAND3X1_132 AND2X2_44
AND2X2_44
OAI21X1_131 NAND2X1_44
OAI21X1_132 NAND2X1_44
NAND2X1_44 MUX2X1_44
MUX2X1_44
OR2X2_45 OAI21X1_133
OAI21X1_133 AND2X2_45
INVX1_177 NAND3X1_135 MUX2X1_45
INVX1_178 NAND3X1_133 OAI21X1_134
INVX1_179 NAND3X1_133 OAI21X1_134
NAND3X1_133 NAND3X1_135 MUX2X1_45
INVX1_180 NAND3X1_134
NAND3X1_134 NAND3X1_135
NAND3X1_135 AND2X2_45
AND2X2_45
OAI21X1_134 NAND2X1_45
OAI21X1_135 NAND2X1_45
NAND2X1_45 MUX2X1_45
MUX2X1_45
OR2X2_46 OAI21X1_136
OAI21X1_136 AND2X2_46
INVX1_181 NAND3X1_138 MUX2X1_46
INVX1_182 NAND3X1_136 OAI21X1_137
INVX1_183 NAND3X1_136 OAI21X1_137
NAND3X1_136 NAND3X1_138 MUX2X1_46
INVX1_184 NAND3X1_137
NAND3X1_137 NAND3X1_138
NAND3X1_138 AND2X2_46
AND2X2_46 OAI21X1_139 INVX1_185 OAI21X1_163 INVX1_217
OAI21X1_137 NAND2X1_46
OAI21X1_138 NAND2X1_46
NAND2X1_46 MUX2X1_46
MUX2X1_46 OAI21X1_139 INVX1_187 NAND3X1_140 OAI21X1_141 OAI21X1_163 INVX1_219 NAND3X1_164 OAI21X1_165
OR2X2_47 OAI21X1_139
OAI21X1_139 AND2X2_47
INVX1_185 NAND3X1_141 MUX2X1_47
INVX1_186 NAND3X1_139 OAI21X1_140
INVX1_187 NAND3X1_139 OAI21X1_140
NAND3X1_139 NAND3X1_141 MUX2X1_47
INVX1_188 NAND3X1_140
NAND3X1_140 NAND3X1_141
NAND3X1_141 AND2X2_47
AND2X2_47
OAI21X1_140 NAND2X1_47
OAI21X1_141 NAND2X1_47
NAND2X1_47 MUX2X1_47
MUX2X1_47
OR2X2_48 OAI21X1_142
OAI21X1_142 AND2X2_48
INVX1_189 NAND3X1_144 MUX2X1_48
INVX1_190 NAND3X1_142 OAI21X1_143
INVX1_191 NAND3X1_142 OAI21X1_143
NAND3X1_142 NAND3X1_144 MUX2X1_48
INVX1_192 NAND3X1_143
NAND3X1_143 NAND3X1_144
NAND3X1_144 AND2X2_48
AND2X2_48
OAI21X1_143 NAND2X1_48
OAI21X1_144 NAND2X1_48
NAND2X1_48 MUX2X1_48
MUX2X1_48
OR2X2_49 OAI21X1_145
OAI21X1_145 AND2X2_49
